filename,satellite_name,satellite_norad_id,time_enters,time_leaves,azimuth_enters,altitude_enters,azimuth_leaves,altitude_leaves
command_line_input,HAIYANG 2D,48621,2025-12-24T10:28:05Z,2025-12-24T10:28:32Z,355.08,46.62,3.24,52.80
command_line_input,SARAL,39086,2025-12-26T23:58:46Z,2025-12-26T23:59:16Z,4.32,43.06,0.04,52.99
command_line_input,STARLETTE,7646,2025-12-26T09:39:39Z,2025-12-26T09:40:00Z,355.38,48.34,4.96,48.42
command_line_input,LARES,38077,2025-12-26T16:03:05Z,2025-12-26T16:03:52Z,356.83,52.84,4.91,45.36
command_line_input,STARLETTE,7646,2026-01-14T02:59:51Z,2026-01-14T03:00:13Z,355.04,50.82,4.99,50.43
command_line_input,S6 MICHAEL FREILICH,46984,2025-12-23T18:04:02Z,2025-12-23T18:04:04Z,4.39,43.06,4.82,43.30
command_line_input,STARLETTE,7646,2025-12-23T10:31:12Z,2025-12-23T10:31:33Z,355.14,47.78,4.74,47.75
command_line_input,HAIYANG 2C,46469,2025-12-23T20:41:18Z,2025-12-23T20:41:24Z,3.08,52.91,4.85,51.41
command_line_input,HAIYANG 2D,48621,2025-12-23T02:54:32Z,2025-12-23T02:55:04Z,355.24,51.93,4.78,44.91
command_line_input,JASON 3,41240,2025-12-28T16:45:34Z,2025-12-28T16:45:39Z,3.73,43.04,4.83,43.68
command_line_input,SWARM C,39453,2025-12-28T06:59:17Z,2025-12-28T06:59:29Z,4.95,50.32,4.14,43.36
command_line_input,LAGEOS 1,8820,2025-12-28T02:40:12Z,2025-12-28T02:40:45Z,4.96,43.48,2.85,43.01
command_line_input,LAGEOS 1,8820,2025-12-28T21:46:12Z,2025-12-28T21:47:22Z,4.95,50.60,0.78,53.00
command_line_input,STARLETTE,7646,2025-12-28T08:28:48Z,2025-12-28T08:29:09Z,355.28,49.84,4.94,49.34
command_line_input,LARES,38077,2025-12-28T15:53:08Z,2025-12-28T15:53:26Z,355.15,45.49,358.32,43.08
command_line_input,LARES,38077,2025-12-28T23:52:21Z,2025-12-28T23:53:17Z,355.12,44.09,4.93,52.84
command_line_input,LAGEOS 1,8820,2025-12-27T04:01:26Z,2025-12-27T04:03:58Z,4.65,52.99,355.04,48.30
command_line_input,LAGEOS 1,8820,2025-12-27T23:08:01Z,2025-12-27T23:09:31Z,0.68,43.01,355.04,44.60
command_line_input,STARLETTE,7646,2025-12-27T09:58:57Z,2025-12-27T09:59:16Z,355.37,50.72,4.78,51.49
command_line_input,LARETS,27944,2025-12-27T21:57:23Z,2025-12-27T21:57:49Z,4.91,43.11,1.04,52.99
command_line_input,LARES,38077,2025-12-27T00:02:56Z,2025-12-27T00:03:07Z,2.88,43.06,4.84,44.51
command_line_input,HAIYANG 2D,48621,2025-12-27T09:36:05Z,2025-12-27T09:36:08Z,3.84,43.12,4.71,43.65
command_line_input,JASON 3,41240,2026-01-07T07:35:35Z,2026-01-07T07:36:02Z,355.20,46.78,1.03,43.02
command_line_input,SWARM B,39451,2026-01-07T12:09:54Z,2026-01-07T12:10:11Z,3.46,43.20,4.99,52.02
command_line_input,SWARM C,39453,2026-01-07T06:05:13Z,2026-01-07T06:05:15Z,4.97,44.48,4.83,43.41
