filename,satellite_name,satellite_norad_id,time_enters,time_leaves,azimuth_enters,altitude_enters,azimuth_leaves,altitude_leaves
command_line_input,JASON 3,41240,2025-12-21T18:51:53Z,2025-12-21T18:52:44Z,330.07,42.01,331.00,51.89
command_line_input,S6 MICHAEL FREILICH,46984,2025-12-21T19:13:55Z,2025-12-21T19:14:46Z,327.75,42.11,327.62,51.82
command_line_input,EGS (AJISAI),16908,2025-12-21T04:19:09Z,2025-12-21T04:19:41Z,322.11,48.09,330.11,51.89
command_line_input,COSMOS 1989 (ETALON 1),19751,2025-12-21T12:47:42Z,2025-12-21T13:08:32Z,322.00,42.47,329.84,52.00
command_line_input,STARLETTE,7646,2025-12-21T11:41:02Z,2025-12-21T11:41:11Z,329.08,42.12,331.98,43.29
command_line_input,LARES,38077,2025-12-21T17:27:08Z,2025-12-21T17:27:43Z,322.28,45.74,331.99,43.77
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-17T06:07:08Z,2026-01-17T06:07:37Z,322.20,48.63,331.99,47.17
command_line_input,EGS (AJISAI),16908,2026-01-17T21:17:15Z,2026-01-17T21:17:33Z,322.09,49.52,326.12,51.99
command_line_input,LAGEOS 1,8820,2026-01-17T22:49:16Z,2026-01-17T22:50:43Z,331.99,42.88,326.42,42.01
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-17T02:25:51Z,2026-01-17T02:43:00Z,322.00,44.75,330.22,51.99
command_line_input,STARLETTE,7646,2026-01-17T02:06:57Z,2026-01-17T02:07:26Z,322.02,44.19,331.90,47.40
command_line_input,STARLETTE,7646,2026-01-17T03:56:47Z,2026-01-17T03:56:58Z,322.22,49.65,325.07,51.85
command_line_input,HAIYANG 2D,48621,2026-01-17T05:18:43Z,2026-01-17T05:19:20Z,327.63,42.07,327.44,51.78
command_line_input,CRYOSAT 2,36508,2026-01-05T02:39:45Z,2026-01-05T02:40:05Z,331.65,46.14,322.32,51.76
command_line_input,SARAL,39086,2026-01-05T00:11:51Z,2026-01-05T00:12:02Z,331.90,49.23,326.18,51.84
command_line_input,EGS (AJISAI),16908,2026-01-05T00:55:03Z,2026-01-05T00:55:12Z,322.20,50.60,324.14,51.90
command_line_input,LAGEOS 1,8820,2026-01-05T05:56:22Z,2026-01-05T05:59:01Z,322.00,49.21,324.65,42.02
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-05T13:26:05Z,2026-01-05T13:45:14Z,324.71,42.01,324.70,52.00
command_line_input,STARLETTE,7646,2026-01-05T05:33:36Z,2026-01-05T05:34:00Z,322.30,48.56,331.99,50.89
command_line_input,STARLETTE,7646,2026-01-05T07:22:53Z,2026-01-05T07:23:28Z,322.21,43.20,331.86,48.83
command_line_input,LARETS,27944,2026-01-05T08:59:59Z,2026-01-05T09:00:27Z,322.68,51.87,329.85,42.11
command_line_input,HAIYANG 2C,46469,2026-01-05T02:14:54Z,2026-01-05T02:15:07Z,322.67,42.10,322.02,45.24
command_line_input,SENTINEL 3A,41335,2026-01-05T16:20:26Z,2026-01-05T16:20:46Z,331.69,44.99,322.27,49.01
command_line_input,LAGEOS 1,8820,2026-01-13T05:36:32Z,2026-01-13T05:39:02Z,322.01,48.80,324.53,42.03
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-13T12:49:56Z,2026-01-13T13:09:06Z,324.73,42.00,325.02,52.00
command_line_input,STARLETTE,7646,2026-01-13T04:28:39Z,2026-01-13T04:29:14Z,322.16,42.06,331.77,47.10
command_line_input,SARAL,39086,2026-01-06T11:00:17Z,2026-01-06T11:00:43Z,322.29,50.01,328.30,42.21
command_line_input,SWARM A,39452,2026-01-06T18:02:35Z,2026-01-06T18:02:45Z,328.28,42.22,322.36,46.63
command_line_input,EGS (AJISAI),16908,2026-01-06T00:00:35Z,2026-01-06T00:01:08Z,322.05,48.08,330.35,51.96
command_line_input,EGS (AJISAI),16908,2026-01-06T23:06:25Z,2026-01-06T23:06:45Z,322.24,49.91,327.89,51.96
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-06T11:36:34Z,2026-01-06T11:56:20Z,322.00,43.10,329.91,52.00
command_line_input,STARLETTE,7646,2026-01-06T05:52:39Z,2026-01-06T05:53:10Z,322.02,43.06,331.99,46.58
command_line_input,HAIYANG 2C,46469,2026-01-06T17:49:07Z,2026-01-06T17:49:28Z,322.23,48.37,331.98,46.68
command_line_input,HAIYANG 2D,48621,2026-01-06T00:02:38Z,2026-01-06T00:03:00Z,322.42,44.73,331.66,43.20
command_line_input,SENTINEL 3B,43437,2026-01-06T03:05:29Z,2026-01-06T03:05:54Z,322.27,49.46,327.89,42.20
command_line_input,JASON 3,41240,2026-01-03T08:30:20Z,2026-01-03T08:30:46Z,322.08,51.70,331.89,50.17
command_line_input,JASON 3,41240,2026-01-03T16:18:17Z,2026-01-03T16:19:07Z,326.23,42.16,325.40,51.87
command_line_input,SARAL,39086,2026-01-03T10:56:08Z,2026-01-03T10:56:21Z,329.51,51.76,331.99,47.35
command_line_input,EGS (AJISAI),16908,2026-01-03T00:41:27Z,2026-01-03T00:42:00Z,322.13,48.17,330.64,51.92
command_line_input,EGS (AJISAI),16908,2026-01-03T23:47:18Z,2026-01-03T23:47:32Z,322.03,50.53,326.06,51.96
