filename,satellite_name,satellite_norad_id,time_enters,time_leaves,azimuth_enters,altitude_enters,azimuth_leaves,altitude_leaves
command_line_input,CRYOSAT 2,36508,2026-01-17T13:38:36Z,2026-01-17T13:38:38Z,288.64,75.59,292.78,75.12
command_line_input,SARAL,39086,2026-01-17T23:57:38Z,2026-01-17T23:57:41Z,297.72,79.92,288.43,80.13
command_line_input,LAGEOS 2,22195,2026-01-17T06:58:55Z,2026-01-17T06:59:45Z,291.95,75.02,288.09,77.49
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-17T05:41:57Z,2026-01-17T05:46:16Z,288.01,75.17,297.97,75.52
command_line_input,HAIYANG 2D,48621,2026-01-17T20:34:00Z,2026-01-17T20:34:02Z,288.47,83.52,295.96,83.67
command_line_input,CRYOSAT 2,36508,2025-12-21T14:53:57Z,2025-12-21T14:53:58Z,288.40,84.48,293.80,84.22
command_line_input,LAGEOS 1,8820,2025-12-21T20:53:49Z,2025-12-21T20:54:08Z,297.52,83.49,288.29,83.23
command_line_input,LAGEOS 2,22195,2025-12-21T09:57:36Z,2025-12-21T09:57:39Z,288.27,75.02,288.02,75.16
command_line_input,LAGEOS 1,8820,2026-01-14T19:53:56Z,2026-01-14T19:54:17Z,297.61,82.92,288.26,82.63
command_line_input,STARLETTE,7646,2026-01-14T01:09:30Z,2026-01-14T01:09:36Z,290.71,75.04,297.27,76.37
command_line_input,LARES,38077,2026-01-14T21:27:16Z,2026-01-14T21:27:25Z,297.81,79.05,288.32,80.84
command_line_input,HAIYANG 2C,46469,2026-01-14T23:59:01Z,2026-01-14T23:59:08Z,297.91,77.18,289.37,79.52
command_line_input,SENTINEL 3B,43437,2026-01-14T02:56:52Z,2026-01-14T02:56:56Z,288.43,80.12,297.70,78.87
command_line_input,STARLETTE,7646,2025-12-25T07:30:17Z,2025-12-25T07:30:21Z,288.90,81.24,296.64,82.16
command_line_input,LARETS,27944,2025-12-25T08:51:46Z,2025-12-25T08:51:48Z,289.91,80.90,295.96,80.17
command_line_input,CRYOSAT 2,36508,2026-01-15T13:40:27Z,2026-01-15T13:40:29Z,288.46,83.12,296.87,82.57
command_line_input,STELLA,22824,2026-01-15T02:29:24Z,2026-01-15T02:29:26Z,290.14,83.92,297.66,83.26
command_line_input,HAIYANG 2C,46469,2026-01-15T15:12:20Z,2026-01-15T15:12:24Z,288.88,77.71,296.67,78.01
command_line_input,JASON 3,41240,2026-01-03T16:21:14Z,2026-01-03T16:21:14Z,296.90,84.79,296.90,84.79
command_line_input,EGS (AJISAI),16908,2026-01-03T02:45:09Z,2026-01-03T02:45:46Z,297.99,75.43,294.26,84.86
command_line_input,EGS (AJISAI),16908,2026-01-03T21:45:44Z,2026-01-03T21:45:53Z,288.32,77.86,297.18,79.35
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-03T22:23:10Z,2026-01-03T22:27:09Z,288.01,76.31,298.00,76.58
command_line_input,LARES,38077,2026-01-03T23:23:40Z,2026-01-03T23:23:47Z,297.57,80.91,288.77,82.32
command_line_input,LAGEOS 1,8820,2026-01-13T05:26:50Z,2026-01-13T05:27:37Z,288.12,77.10,295.44,75.04
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-13T13:55:13Z,2026-01-13T14:00:01Z,297.98,75.45,288.02,77.03
command_line_input,LARETS,27944,2026-01-13T08:55:32Z,2026-01-13T08:55:35Z,288.85,78.25,295.93,77.19
command_line_input,LARES,38077,2026-01-13T12:29:12Z,2026-01-13T12:29:17Z,289.06,81.09,297.82,81.18
command_line_input,SENTINEL 3B,43437,2026-01-12T16:01:51Z,2026-01-12T16:01:53Z,297.97,81.65,290.69,81.81
command_line_input,LAGEOS 2,22195,2026-01-08T07:58:29Z,2026-01-08T07:59:03Z,290.71,75.04,288.04,76.71
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-08T06:02:05Z,2026-01-08T06:05:54Z,297.97,78.50,288.02,79.81
command_line_input,SENTINEL 3B,43437,2026-01-08T16:05:32Z,2026-01-08T16:05:36Z,297.66,75.89,289.11,76.14
command_line_input,JASON 3,41240,2026-01-16T13:47:10Z,2026-01-16T13:47:22Z,297.99,75.64,288.40,78.43
command_line_input,EGS (AJISAI),16908,2026-01-16T18:08:16Z,2026-01-16T18:08:20Z,288.80,83.35,296.05,84.00
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-16T05:25:03Z,2026-01-16T05:28:23Z,297.97,80.04,288.01,81.20
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-09T06:57:06Z,2026-01-09T06:57:11Z,288.56,80.56,297.48,80.81
command_line_input,CRYOSAT 2,36508,2025-12-23T14:52:07Z,2025-12-23T14:52:11Z,289.36,76.79,297.98,75.72
command_line_input,SARAL,39086,2025-12-23T23:56:15Z,2025-12-23T23:56:17Z,297.36,82.03,289.50,82.18
command_line_input,COSMOS 2024 (ETALON 2),20026,2025-12-23T07:16:19Z,2025-12-23T07:21:04Z,297.99,75.51,288.04,77.06
command_line_input,SWARM B,39451,2025-12-29T01:18:50Z,2025-12-29T01:18:50Z,293.69,82.78,293.69,82.78
command_line_input,LAGEOS 1,8820,2025-12-29T20:33:51Z,2025-12-29T20:34:11Z,297.68,83.30,288.26,83.03
command_line_input,STELLA,22824,2025-12-29T15:35:22Z,2025-12-29T15:35:23Z,293.64,83.69,288.81,83.75
command_line_input,SENTINEL 3A,41335,2025-12-29T16:03:06Z,2025-12-29T16:03:09Z,297.45,78.68,289.42,78.88
command_line_input,HAIYANG 2D,48621,2025-12-29T01:09:14Z,2025-12-29T01:09:15Z,291.32,83.65,295.13,83.72
command_line_input,LAGEOS 2,22195,2026-01-11T02:09:12Z,2026-01-11T02:09:57Z,288.01,78.42,297.98,79.84
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-11T21:44:52Z,2026-01-11T21:48:29Z,288.02,77.53,297.98,77.73
command_line_input,STARLETTE,7646,2026-01-11T02:01:15Z,2026-01-11T02:01:20Z,288.34,79.74,296.34,80.88
command_line_input,COSMOS 2024 (ETALON 2),20026,2025-12-26T23:01:29Z,2025-12-26T23:05:49Z,288.01,75.09,297.98,75.44
command_line_input,HAIYANG 2C,46469,2025-12-26T04:34:30Z,2025-12-26T04:34:37Z,297.11,77.10,288.48,79.40
command_line_input,HAIYANG 2C,46469,2025-12-26T19:47:49Z,2025-12-26T19:47:53Z,289.21,77.51,296.88,77.80
command_line_input,LAGEOS 1,8820,2025-12-28T06:06:41Z,2025-12-28T06:07:39Z,288.11,77.62,297.13,75.03
command_line_input,COSMOS 1989 (ETALON 1),19751,2025-12-28T15:08:23Z,2025-12-28T15:10:28Z,292.25,75.00,288.01,75.61
command_line_input,STARLETTE,7646,2025-12-28T06:38:30Z,2025-12-28T06:38:37Z,288.77,76.09,297.02,77.67
command_line_input,LAGEOS 2,22195,2026-01-20T01:09:44Z,2026-01-20T01:10:27Z,288.06,78.86,297.97,80.21
command_line_input,JASON 3,41240,2026-01-06T07:18:32Z,2026-01-06T07:18:40Z,288.04,75.69,297.58,76.13
command_line_input,EGS (AJISAI),16908,2026-01-06T21:04:49Z,2026-01-06T21:04:53Z,294.71,75.10,297.86,75.72
command_line_input,LAGEOS 1,8820,2026-01-06T20:13:53Z,2026-01-06T20:14:14Z,297.92,83.12,288.29,82.83
command_line_input,SARAL,39086,2025-12-27T00:00:22Z,2025-12-27T00:00:25Z,296.18,75.51,289.78,75.70
command_line_input,LARETS,27944,2025-12-27T21:58:46Z,2025-12-27T21:58:49Z,297.05,75.99,289.37,76.23
command_line_input,JASON 3,41240,2026-01-10T06:22:30Z,2026-01-10T06:22:34Z,289.01,82.05,297.70,82.24
command_line_input,JASON 3,41240,2025-12-24T09:52:14Z,2025-12-24T09:52:19Z,288.68,80.62,297.87,80.87
command_line_input,SWARM B,39451,2025-12-24T01:47:23Z,2025-12-24T01:47:25Z,288.27,75.65,294.71,75.07
command_line_input,LAGEOS 2,22195,2025-12-24T04:08:08Z,2025-12-24T04:08:56Z,288.08,77.57,297.96,79.11
command_line_input,STARLETTE,7646,2025-12-24T12:40:07Z,2025-12-24T12:40:14Z,290.44,75.21,288.17,77.96
command_line_input,LARES,38077,2025-12-24T01:20:04Z,2025-12-24T01:20:09Z,297.23,82.79,289.42,83.81
command_line_input,SWARM B,39451,2026-01-02T12:39:41Z,2026-01-02T12:39:42Z,297.13,79.93,292.50,80.29
command_line_input,LAGEOS 2,22195,2026-01-02T03:08:40Z,2026-01-02T03:09:26Z,288.02,77.99,297.82,79.45
command_line_input,LARES,38077,2026-01-02T14:25:31Z,2026-01-02T14:25:34Z,289.96,82.24,295.98,82.30
command_line_input,SENTINEL 3A,41335,2026-01-02T15:59:27Z,2026-01-02T15:59:28Z,295.85,84.56,290.25,84.63
command_line_input,LARETS,27944,2026-01-04T21:55:16Z,2026-01-04T21:55:16Z,291.87,84.41,291.87,84.41
command_line_input,SENTINEL 3A,41335,2026-01-04T02:54:24Z,2026-01-04T02:54:26Z,289.30,83.28,296.25,82.65
command_line_input,SARAL,39086,2025-12-31T10:50:51Z,2025-12-31T10:50:53Z,289.48,82.32,295.78,81.68
command_line_input,EGS (AJISAI),16908,2025-12-31T22:26:48Z,2025-12-31T22:26:54Z,288.24,82.29,297.84,83.27
command_line_input,COSMOS 2024 (ETALON 2),20026,2025-12-31T06:39:09Z,2025-12-31T06:43:27Z,297.97,76.99,288.00,78.43
command_line_input,STELLA,22824,2025-12-31T02:29:17Z,2025-12-31T02:29:20Z,289.35,81.88,297.82,80.91
command_line_input,SENTINEL 3A,41335,2025-12-31T02:58:13Z,2025-12-31T02:58:17Z,289.61,76.46,296.46,75.25
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-19T04:55:37Z,2026-01-19T04:55:41Z,289.70,80.64,296.89,80.84
command_line_input,EGS (AJISAI),16908,2026-01-19T17:27:12Z,2026-01-19T17:27:20Z,288.85,78.95,297.54,80.26
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-19T21:06:32Z,2026-01-19T21:09:47Z,288.03,78.74,297.96,78.88
command_line_input,HAIYANG 2D,48621,2026-01-07T22:51:36Z,2026-01-07T22:51:38Z,289.17,83.59,296.76,83.72
command_line_input,LAGEOS 2,22195,2025-12-22T03:55:41Z,2025-12-22T03:55:54Z,288.00,84.59,294.22,84.98
command_line_input,LARES,38077,2025-12-22T16:21:49Z,2025-12-22T16:21:52Z,288.86,83.35,295.91,83.42
command_line_input,CRYOSAT 2,36508,2025-12-30T02:46:38Z,2025-12-30T02:46:41Z,297.41,79.08,288.32,79.56
command_line_input,JASON 3,41240,2025-12-30T17:16:57Z,2025-12-30T17:17:02Z,292.67,75.22,288.81,76.33
command_line_input,S6 MICHAEL FREILICH,46984,2025-12-30T08:58:36Z,2025-12-30T08:58:40Z,289.64,80.58,296.77,80.77
command_line_input,LAGEOS 2,22195,2025-12-30T08:58:02Z,2025-12-30T08:58:21Z,289.53,75.01,288.02,75.93
command_line_input,LAGEOS 1,8820,2026-01-05T05:46:45Z,2026-01-05T05:47:38Z,288.01,77.38,296.27,75.04
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-05T14:31:07Z,2026-01-05T14:35:15Z,296.39,75.01,288.03,76.31
command_line_input,HAIYANG 2C,46469,2026-01-05T02:16:46Z,2026-01-05T02:16:53Z,297.64,77.07,289.13,79.40
command_line_input,HAIYANG 2C,46469,2026-01-05T17:30:05Z,2026-01-05T17:30:09Z,288.76,77.58,296.47,77.88
command_line_input,SARAL,39086,2026-01-25T10:52:13Z,2026-01-25T10:52:16Z,288.75,80.05,296.02,79.11
command_line_input,COSMOS 1989 (ETALON 1),19751,2026-01-25T05:06:23Z,2026-01-25T05:10:31Z,288.01,75.81,297.98,76.13
command_line_input,LARES,38077,2026-01-25T19:30:52Z,2026-01-25T19:31:02Z,298.00,77.22,289.07,79.20
command_line_input,HAIYANG 2C,46469,2026-01-25T12:54:34Z,2026-01-25T12:54:38Z,289.59,77.89,297.51,78.17
command_line_input,SENTINEL 3A,41335,2026-01-25T16:03:00Z,2026-01-25T16:03:03Z,297.56,78.91,289.36,79.11
command_line_input,SWARM B,39451,2026-01-26T22:49:30Z,2026-01-26T22:49:30Z,291.47,83.91,291.47,83.91
command_line_input,LAGEOS 2,22195,2026-01-26T05:59:22Z,2026-01-26T06:00:28Z,293.12,75.04,288.06,78.32
command_line_input,LAGEOS 1,8820,2026-01-30T19:14:01Z,2026-01-30T19:14:23Z,297.59,82.54,288.31,82.23
command_line_input,EGS (AJISAI),16908,2026-02-07T12:27:33Z,2026-02-07T12:27:44Z,288.62,75.57,297.56,77.36
command_line_input,LAGEOS 1,8820,2026-02-07T18:54:03Z,2026-02-07T18:54:26Z,297.77,82.34,288.32,82.02
command_line_input,EGS (AJISAI),16908,2026-01-22T16:46:10Z,2026-01-22T16:46:19Z,290.46,75.05,297.50,76.50
command_line_input,LAGEOS 1,8820,2026-01-22T19:33:58Z,2026-01-22T19:34:20Z,297.90,82.73,288.36,82.43
command_line_input,S6 MICHAEL FREILICH,46984,2026-02-08T00:52:36Z,2026-02-08T00:52:41Z,288.23,80.67,297.25,80.92
command_line_input,SARAL,39086,2026-02-08T23:54:47Z,2026-02-08T23:54:48Z,295.17,84.79,289.18,84.86
command_line_input,LAGEOS 2,22195,2026-02-08T23:24:16Z,2026-02-08T23:24:17Z,297.71,75.02,297.87,75.05
command_line_input,STELLA,22824,2026-02-08T15:42:25Z,2026-02-08T15:42:28Z,297.48,77.84,290.02,78.04
command_line_input,SENTINEL 3B,43437,2026-02-08T16:01:32Z,2026-02-08T16:01:34Z,297.56,82.16,289.81,82.31
command_line_input,CRYOSAT 2,36508,2026-01-24T01:33:05Z,2026-01-24T01:33:07Z,296.13,77.96,290.72,78.29
command_line_input,COSMOS 2024 (ETALON 2),20026,2026-01-24T04:48:07Z,2026-01-24T04:50:57Z,298.00,81.62,288.00,82.62
command_line_input,STARLETTE,7646,2026-01-24T02:34:03Z,2026-01-24T02:34:31Z,296.56,75.19,290.76,84.88
